biomarker_id	biomarker	assessed_biomarker_entity	assessed_biomarker_entity_id	assessed_entity_type	condition	condition_id	exposure_agent	exposure_agent_id	best_biomarker_role	specimen	specimen_id	loinc_code	evidence_source	evidence	tag	vocab_pattern	biomarker_controlled_vocab	component_group	flags
AN6628-1	increased HOTAIR level	HOX transcript antisense RNA	RNAC:URS0000759B00	RNA	breast cancer	DOID:1612			diagnostic	blood	UBERON:0000178		PubMed:26033707	We measured the HOTAIR and GAPDH DNA in 24 randomly selected patients and 24 age-matched healthy individuals using the direct serum qPCR assay, and found that the relative concentration of HOTAIR DNA was significantly higher in the breast cancer patients than in healthy individuals, corresponding to an average fold change of 2.01 (P = 0.0008).	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of RNA hOX transcript antisense RNA/RNAC:URS0000759B00	202542	
AN6629-1	increased LNCRNA H19 level	Long non-coding RNA H19	RNAC:URS00008B9C5E	RNA	breast cancer	DOID:1612			diagnostic	blood	UBERON:0000178		PubMed:27540977	The results revealed that the expression of H19 was significantly increased in BC tissues and plasma compared with healthy controls (P< 0.05).	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of RNA long non-coding RNA H19/RNAC:URS00008B9C5E	202543	
AN6630-1	increased SREBP1 level	Sterol regulatory element-binding protein 1	UPKB:P36956	protein	thyroid cancer	DOID:1781			diagnostic	thyroid gland	UBERON:0002046		PubMed:31887541	The expression of SREBP1 was significantly different among DTCs, thyroid nodules and the adjacent normal tissues. SREBP1 was upregulated follow with the malignancy.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein SREBF1/UPKB:P36956	202544	
AN6631-1	decreased ANXA3 level	Annexin A3	UPKB:P12429	protein	prostate cancer	DOID:10283			prognostic	prostate gland	UBERON:0002367		PubMed:18222597	ANXA3 represents a promising candidate tissue marker, and when combined with the standard prognostic parameters, is suggested to provide a more precise prediction of prognosis in the individual patient, therefore harboring the potential to contribute to future patient management.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:decreased;aspect_type:level	Decreased level of protein ANXA3/UPKB:P12429	202545	
AN6632-1	increased SAMD5 level	SAMD5	NCBI:389432	gene	prostate cancer	DOID:10283			prognostic	prostate gland	UBERON:0002367		PubMed:30739268	SAMD5 mRNA was shown to be up-regulated in multiple microarray datasets of prostate cancer with the strict statistic criteria: p<0.01 and fold change >/=2. In TCGA_PCa cohort study, high expression of SAMD5 was a risk factor for patients on post-operative BCR (HR 2.181, 95%CI 1.199–3.966, p=0.011) and this predictive ability was independent of Gleason score and pathologic T stage (HR 2.018, 95%CI 1.102–3.698, p=0.023). In another validating cohort study, the statistic trend was similar, and the pooled analysis by combining the two cohort study further confirmed its prognostic effect.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of gene SAMD5/NCBI:389432	202546	
AN6633-1	increased HOXC6 level	Homeobox protein Hox-C6	UPKB:P09630	protein	prostate cancer	DOID:10283			prognostic	prostate gland	UBERON:0002367		PubMed:31271305	Relative expressions of HOXC6 at mRNA and protein levels were obviously higher in both PCa tissues and cells than in adjacent non-cancerous tissues and normal human prostate epithelial cells (p < .05). Chi-square test demonstrated that high expression of HOXC6 was significantly associated with PSA concentration, Gleason score and TNM stage (p < .05).	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein HOXC6/UPKB:P09630	202547	
AN6634-1	increased PNKD level	PNKD	NCBI:25953	gene	ovarian cancer	DOID:2394			diagnostic	ovary	UBERON:0000992		PubMed:21702971	MR-1 was overexpressed in ovarian cancer tissues and SKOV3 cells. Knockdown of MR-1 expression inhibited cell adhesion and invasion, and treatment with anti-cancer drugs decreased its expression in cancer cells. Taken together, these results provide the first evidence of the cellular and molecular mechanisms by which MR-1 might serve as a novel biological marker and potential therapeutic target for ovarian cancer.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of gene PNKD/NCBI:25953	202548	
AN6635-1	increased AGR2 level	Anterior gradient protein 2 homolog	UPKB:O95994	protein	ovarian cancer	DOID:2394			diagnostic	ovary	UBERON:0000992		PubMed:21200134	We noted a marked overexpression of AGR2 mRNA and protein in early stage mucinous ovarian tumors compared to normal ovarian tissues and serous type ovarian tumors by Western blot analysis and immunohistochemistry. To further elucidate the role of AGR2 in ovarian tumorigenesis, stable 2774 human ovarian cancer cell lines overexpressing AGR2 were established. Forced expression of AGR2 in 2774 cells enhanced the growth and migration of ovarian cancer cells.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein AGR2/UPKB:O95994	202549	
AN6636-1	increased CTSD level	Cathepsin D	UPKB:P07339	protein	stomach cancer	DOID:10534			prognostic	stomach	UBERON:0000945		PubMed:26998125	AGR2 and CTSD expression were both elevated in GC lesions compared with noncancerous tissues. In 204/436 (46.8%) GC patients, high expression of AGR2 was positively correlated with the expression of CTSD (r=0.577, P<0.01). Furthermore, several clinicopathological parameters were significantly associated with AGR2 expression level, including tumor size, depth of invasion and TNM stage (P<0.05). The findings of the present study indicate that AGR2 expression is significantly associated with location and size of GC, depth of invasion, TNM stage, lymphatic metastasis, vessel invasion, distant metastasis, Lauren's classification, high CTSD expression and poor prognosis. Thus, AGR2 may be a novel GC marker and may present a potential therapeutic target for GC.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein CTSD/UPKB:P07339	202550	
AN6635-2	increased AGR2 level	Anterior gradient protein 2 homolog	UPKB:O95994	protein	stomach cancer	DOID:10534			prognostic	stomach	UBERON:0000945		PubMed:26998125	AGR2 and CTSD expression were both elevated in GC lesions compared with noncancerous tissues. In 204/436 (46.8%) GC patients, high expression of AGR2 was positively correlated with the expression of CTSD (r=0.577, P<0.01). Furthermore, several clinicopathological parameters were significantly associated with AGR2 expression level, including tumor size, depth of invasion and TNM stage (P<0.05). The findings of the present study indicate that AGR2 expression is significantly associated with location and size of GC, depth of invasion, TNM stage, lymphatic metastasis, vessel invasion, distant metastasis, Lauren's classification, high CTSD expression and poor prognosis. Thus, AGR2 may be a novel GC marker and may present a potential therapeutic target for GC.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein AGR2/UPKB:O95994	202551	
AN6637-1	increased PLG level	Plasminogen	UPKB:P00747	protein	ovarian cancer	DOID:2394			prognostic	ovary	UBERON:0000992		PubMed:27935848	PLG staining was positively associated with prolonged overall survival (OS) [hazard ratio (HR)=0.59, p=0.026] of the patients. In summary, these data indicate that elevated PLG expression represents a favorable prognostic biomarker in advanced (FIGO III/IV) high-grade serous ovarian cancer.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein PLG/UPKB:P00747	202552	
AN6638-1	increased PRSS8 level	PRSS8	NCBI:5652	gene	ovarian cancer	DOID:2394			diagnostic	ovary	UBERON:0000992		PubMed:27036110	Overexpression of PRSS8 mRNA and high levels of prostasin in multiple subtypes of early stage ovarian tumors may provide clinical biomarkers for early detection of OVC, which can potentially be used with CA125 and HE4.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of gene PRSS8/NCBI:5652	202553	
AN6639-1	increased HMGA1 level	High mobility group protein HMG-I/HMG-Y	UPKB:P17096	protein	ovarian cancer	DOID:2394			diagnostic	urine	UBERON:0001088		PubMed:25586095	Urine HMGA1 was significantly elevated in serous epithelial ovarian cancer specimen relative to healthy control specimens with G3 specimens exhibiting higher levels than G1-G2 specimens. Furthermore, urine HMGA1 and serum CA-125 combined AUC indicated that urine HMGA1 is an excellent diagnostic biomarker for serous epithelial ovarian cancer.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein HMGA1/UPKB:P17096	202554	
AN6640-1	increased IL1RN level	IL1RN	NCBI:3557	gene	thyroid cancer	DOID:1781			prognostic	thyroid gland	UBERON:0002046		PubMed:33238942	IL1RN showed higher expression levels and lower methylation levels in PTC tissues than in normal tissues. IL1RN is a good prognostic and diagnostic biomarker for PTC. IL1RN may promote thyroid cancer progression through immune-related pathways.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of gene IL1RN/NCBI:3557	202555	
AN6641-1	decreased BTG1 level	Protein BTG1	UPKB:P62324	protein	thyroid cancer	DOID:1781			prognostic				PubMed:25017022	We determined the expression and function of B cell translocation gene 1 (BTG1) in thyroid carcinoma. Thyroid samples were obtained from cancer lesions (n=83) and adjacent normal tissue (n=35) in thyroid cancer patients immediately after endoscopic biopsy. TG1 protein expression was significantly lower in thyroid cancer tissue biopsies compared to normal tissue. Reduced BTG1 expression is associated with increased disease severity, suggesting it is a negative regulator of thyroid cancer and can serve as a prognostic indicator.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition	change_type:decreased;aspect_type:level	Decreased level of protein BTG1/UPKB:P62324	202556	
AN6642-1	increased CAP2 level	Adenylyl cyclase-associated protein 2	UPKB:P40123	protein	ovarian cancer	DOID:2394			prognostic	ovary	UBERON:0000992		PubMed:32211793	Multivariate analyses showed that CAP2 expression in ovarian cancer is an independent prognostic factor for recurrence-free survival (P = 0.019). CAP2 expression is upregulated in aggressive histologic types of epithelial ovarian cancer and serves as a novel prognostic biomarker for patient survival.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein CAP2/UPKB:P40123	202557	
AN6643-1	increased RNF126 level	E3 ubiquitin-protein ligase RNF126	UPKB:Q9BV68	protein	ovarian cancer	DOID:2394			prognostic	ovary	UBERON:0000992		PubMed:32254065	Upregulated protein level of RNF126 in EOC tissues is a biomarker predicting poor outcomes of EOC patients.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein RNF126/UPKB:Q9BV68	202558	
AN6644-1	increased KLK10 level	Kallikrein-10	UPKB:O43240	protein	ovarian cancer	DOID:2394			prognostic	blood	UBERON:0000178		PubMed:12591730	HK10 concentration is significantly elevated in serum of presurgical ovarian cancer patients (range: 106-11,746 ng/liter; mean = 1067 ng/liter) but not in serum of patients with benign gynecologic diseases (range: 120-1200 ng/liter; mean = 447 ng/liter). Serum hK10 represents a novel biomarker for ovarian cancer. We conclude that preoperative serum hK10 concentration is a strong and independent unfavorable prognostic marker for ovarian cancer.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein KLK10/UPKB:O43240	202559	
AN6645-1	increased STAT3 level	Signal transducer and activator of transcription 3	UPKB:P40763	protein	thyroid cancer	DOID:1781			diagnostic	thyroid gland	UBERON:0002046		PubMed:21577321	Expression of STAT3 in all PTC primary tumors was 98% (40/41) and thus significantly higher than corresponding benign thyroid tissue.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein STAT3/UPKB:P40763	202560	
AN6645-2	increased STAT3 level	Signal transducer and activator of transcription 3	UPKB:P40763	protein	stomach cancer	DOID:10534			prognostic	stomach	UBERON:0000945		PubMed:26622669	The data demonstrated that eight genes associated with ApoE were differentially expressed, with six of these upregulated and two downregulated. Functionally, these genes were involved in the JAK-STAT cascade, acute-phase response, acute inflammatory response, and the steroid hormone response. Among these ApoE-associated genes, expression of the signal transducer and activator of transcription 2 (STAT2) and STAT3 transcription factors was upregulated. To the best of our knowledge, this is the first study to demonstrate the network of ApoE-related genes and transcription factors in gastric cancer. Additional studies are required in order to confirm these data and to translate the results into the identification of clinical biomarkers and novel treatment strategies for gastric cancer.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein STAT3/UPKB:P40763	202561	
